char,error-ssc10,error-ssc15,error-ssc20,error-ssc25,error-ssc50
a,0.0,0.0,0.0,0.0,0.0
m,-,2.665,0.0,0.0,0.0
o,0.0,0.0,0.0,0.0,0.0
r,-,0.0,0.0,0.0,0.0
d,79.878,0.009,0.0,0.0,0.0
e,0.007,0.0,0.0,0.0,0.0
p,-,-,0.077,0.0,0.0
i,53.531,0.0,0.0,0.0,0.0
ç,-,-,-,-,0.0
ã,-,-,-,0.088,0.0
s,21.773,0.006,0.0,0.0,0.0
u,-,1.916,0.0,0.0,0.0
f,-,375.712,95.115,0.045,0.0
l,187.205,51.193,0.0,0.0,0.0
n,90.276,1.819,0.0,0.0,0.0
c,-,-,0.0,0.0,0.0
t,-,21.15,0.012,0.0,0.0
b,918.247,436.035,119.776,0.153,0.0
q,-,-,35.991,0.063,0.0
v,-,-,-,0.028,0.0
j,-,-,-,-,0.0
á,-,-,-,-,0.0
g,-,-,-,0.082,0.0
h,-,-,7.36,0.05,0.0
é,-,-,-,-,0.0
õ,-,-,-,-,0.0
2,-,-,-,-,0.0
1,51125.641,26866.667,10956.41,3894.872,0.0
8,-,-,-,-,0.0
6,-,-,-,14054.545,0.0
y,-,-,-,-,0.0
4,-,-,-,19362.5,0.0
x,-,-,-,-,0.0
ê,-,-,-,-,0.0
z,-,-,-,-,0.0
ô,-,-,-,-,0.0
0,-,-,-,-,0.0
3,-,-,-,-,0.0
5,-,-,43010.0,15470.0,0.0
7,-,-,-,-,0.0
ó,-,-,-,-,0.0
9,-,-,-,-,0.0
è,-,-,-,-,0.0
ú,-,-,-,-,0.0
í,-,-,-,-,0.0
