char,error-ssc10,error-ssc15,error-ssc20,error-ssc25,error-ssc50
1,-,-,-,25.987,0.0
i,-,0.004,0.0,0.0,0.0
n,44.691,0.0,0.0,0.0,0.0
t,2.517,0.0,0.0,0.0,0.0
h,-,0.0,0.0,0.0,0.0
e,0.0,0.0,0.0,0.0,0.0
b,566.477,251.194,68.501,0.0,0.0
g,-,-,48.91,0.0,0.0
o,33.913,0.0,0.0,0.0,0.0
d,-,-,0.0,0.0,0.0
c,-,-,49.791,0.0,0.0
r,-,1.494,0.0,0.0,0.0
a,18.096,0.0,0.0,0.0,0.0
v,-,-,-,13.705,0.0
2,-,-,-,-,0.0
w,397.256,162.022,25.72,0.0,0.0
s,71.368,0.023,0.0,0.0,0.0
u,290.109,105.564,0.386,0.0,0.0
f,-,-,0.339,0.0,0.0
m,-,114.648,2.994,0.0,0.0
k,1361.303,670.015,269.445,52.345,0.0
p,-,-,90.372,0.291,0.0
3,-,-,-,-,0.0
l,-,32.057,0.002,0.0,0.0
4,-,-,-,-,0.0
5,-,-,-,381.086,0.0
y,-,-,-,0.002,0.0
6,-,-,-,-,0.0
7,-,-,-,-,0.0
8,-,-,-,-,0.0
9,-,-,-,-,0.0
0,-,-,-,-,0.0
x,-,-,-,-,0.0
j,-,-,-,282.173,0.0
z,-,-,-,-,0.0
q,-,-,-,-,0.0
