char,error-ssc10,error-ssc15,error-ssc20,error-ssc25,error-ssc50
t,-,0.0,0.0,0.0,0.0
h,43.451,0.037,0.0,0.0,0.0
e,0.0,0.0,0.0,0.0,0.0
r,64.75,0.0,0.0,0.0,0.0
a,30.463,0.0,0.0,0.0,0.0
g,-,-,13.003,0.0,0.0
d,156.862,35.108,0.0,0.0,0.0
i,-,0.038,0.0,0.0,0.0
o,12.748,0.0,0.0,0.0,0.0
f,373.341,149.095,2.091,0.0,0.0
m,196.748,-,0.0,0.0,0.0
l,-,13.633,0.0,0.0,0.0
c,-,161.929,8.968,0.0,0.0
u,-,-,0.0,0.0,0.0
s,-,0.04,0.0,0.0,0.0
p,-,237.623,38.004,0.0,0.0
n,54.684,0.013,0.0,0.0,0.0
b,-,-,-,0.0,0.0
w,-,-,0.035,0.0,0.0
y,-,-,0.882,0.0,0.0
v,-,-,-,0.0,0.0
k,865.0,407.623,107.295,0.0,0.0
q,-,-,-,0.0,0.0
x,-,-,-,0.0,0.0
z,-,-,-,10.204,0.0
j,-,-,-,-,0.0
1,-,-,-,-,0.0
