char,error-ssc10,error-ssc15,error-ssc20,error-ssc25,error-ssc50
l,-,95.784,0.0,0.0,0.0
u,-,12.411,0.0,0.0,0.0
í,-,-,-,-,0.0
s,10.334,0.0,0.0,0.0,0.0
v,435.026,180.583,23.202,0.0,0.0
a,0.0,0.0,0.0,0.0,0.0
z,-,-,-,-,0.0
d,84.92,0.0,0.0,0.0,0.0
e,0.003,0.0,0.0,0.0,0.0
c,-,-,0.028,0.0,0.0
m,-,9.369,0.0,0.0,0.0
õ,-,-,-,-,0.0
o,0.022,0.0,0.0,0.0,0.0
n,69.194,0.007,0.0,0.0,0.0
t,90.684,0.151,0.0,0.0,0.0
p,-,-,0.054,0.0,0.0
r,35.195,0.006,0.0,0.0,0.0
i,-,0.008,0.0,0.0,0.0
1,-,-,-,-,0.0
b,-,-,-,0.167,0.0
q,-,190.177,27.109,0.0,0.0
g,-,-,-,0.0,0.0
é,-,-,-,-,0.0
f,-,-,-,0.0,0.0
ç,-,-,-,-,0.0
h,-,-,-,0.542,0.0
2,-,-,-,-,0.0
ó,-,-,691.818,244.545,0.0
á,-,-,-,64.996,0.0
ã,-,-,-,-,0.0
j,2124.829,1066.667,410.948,122.287,0.0
3,-,-,-,-,0.0
x,-,-,1320.109,517.663,0.0
4,-,-,-,-,0.0
à,-,-,3207.595,1338.608,0.0
5,-,-,-,-,0.0
ú,-,-,-,-,0.0
6,-,-,-,-,0.0
7,-,-,-,-,0.0
8,-,-,-,-,0.0
ê,-,-,-,-,0.0
9,-,-,-,-,0.0
0,-,-,-,-,0.0
y,-,-,-,-,0.0
ô,-,-,-,-,0.0
â,-,-,-,-,0.0
è,-,-,-,-,0.0
ü,-,-,-,-,0.0
ò,-,-,-,-,0.0
