char,error-ssc10,error-ssc15,error-ssc20,error-ssc25,error-ssc50
e,0.002,0.0,0.0,0.0,0.0
ç,-,-,-,51.603,0.0
a,0.0,0.0,0.0,0.0,0.0
d,80.093,0.0,0.0,0.0,0.0
q,-,-,82.746,0.05,0.0
u,109.845,12.204,0.002,0.0,0.0
i,-,0.0,0.0,0.0,0.0
r,32.854,0.0,0.0,0.0,0.0
o,0.0,0.0,0.0,0.0,0.0
z,-,-,-,25.908,0.0
s,-,0.0,0.0,0.0,0.0
m,93.724,3.684,0.0,0.0,0.0
p,-,106.164,0.017,0.0,0.0
v,426.978,181.774,6.66,0.0,0.0
n,87.101,0.292,0.0,0.0,0.0
t,-,-,0.0,0.0,0.0
c,-,-,0.0,0.0,0.0
l,135.172,25.746,0.0,0.0,0.0
h,-,-,12.345,0.018,0.0
g,-,279.807,43.693,0.008,0.0
x,-,-,-,-,0.0
1,-,-,-,-,0.0
8,-,-,-,-,0.0
b,-,-,56.32,0.009,0.0
ã,-,-,-,2.628,0.0
f,-,370.353,77.969,0.01,0.0
ó,-,-,-,-,0.0
2,-,-,-,-,0.0
0,-,-,-,-,0.0
3,-,-,-,-,0.0
5,-,-,-,-,0.0
7,-,-,-,-,0.0
j,-,-,-,104.859,0.0
á,-,-,-,65.447,0.0
é,-,-,-,-,0.0
y,-,-,-,-,0.0
ê,-,-,-,-,0.0
ô,-,-,-,-,0.0
õ,-,-,-,-,0.0
ú,-,-,-,-,0.0
w,-,-,-,-,0.0
à,-,-,-,-,0.0
è,-,-,-,-,0.0
í,-,-,-,-,0.0
k,-,-,-,-,0.0
9,-,-,-,-,50.0
ò,-,-,-,-,-
6,-,-,-,-,0.0
4,-,-,-,-,0.0
û,-,-,-,-,-
ù,-,-,-,-,-
ñ,-,-,-,-,11.111
â,-,-,-,-,40.0
