char,exact,ssc10,ssc15,ssc20,ssc25,ssc50
a,29472,29472,29472,29472,29472,29472
m,10355,-,10631,10355,10355,10355
o,22095,22095,22095,22095,22095,22095
r,14828,-,14828,14828,14828,14828
d,11107,19979,11108,11107,11107,11107
e,28278,28280,28278,28278,28278,28278
p,5208,-,-,5212,5208,5208
i,13013,19979,13013,13013,13013,13013
ç,1000,-,-,-,-,1000
ã,2264,-,-,-,2266,2264
s,16406,19978,16407,16406,16406,16406
u,10388,-,10587,10388,10388,10388
f,2211,-,10518,4314,2212,2211
l,6956,19978,10517,6956,6956,6956
n,10500,19979,10691,10500,10500,10500
c,6522,-,-,6522,6522,6522
t,8681,-,10517,8682,8681,8681
b,1962,19978,10517,4312,1965,1962
q,3173,-,-,4315,3175,3173
v,3581,-,-,-,3582,3581
j,746,-,-,-,-,746
á,1037,-,-,-,-,1037
g,2432,-,-,-,2434,2432
h,4022,-,-,4318,4024,4022
é,599,-,-,-,-,599
õ,120,-,-,-,-,120
2,11,-,-,-,-,11
1,39,19978,10517,4312,1558,39
8,21,-,-,-,-,21
6,11,-,-,-,1557,11
y,62,-,-,-,-,62
4,8,-,-,-,1557,8
x,410,-,-,-,-,410
ê,289,-,-,-,-,289
z,1478,-,-,-,-,1478
ô,132,-,-,-,-,132
0,15,-,-,-,-,15
3,6,-,-,-,-,6
5,10,-,-,4311,1557,10
7,13,-,-,-,-,13
ó,205,-,-,-,-,205
9,2,-,-,-,-,2
è,2,-,-,-,-,2
ú,5,-,-,-,-,5
í,21,-,-,-,-,21
