char,exact2,ssc10,ssc15,ssc20,ssc25,ssc50
1,27087,-,-,-,34126,27087
i,193926,-,193934,193926,193926,193926
n,225026,325593,225026,225026,225026,225026
t,317696,325693,317696,317696,317696,317696
h,282657,-,282657,282657,282657,282657
e,412160,412160,412160,412160,412160,412160
b,48853,325594,171569,82318,48853,48853
g,55279,-,-,82316,55279,55279
o,243143,325601,243143,243143,243143,243143
d,158086,-,-,158086,158086,158086
c,55056,-,-,82469,55056,55056
r,170301,-,172846,170301,170301,170301
a,275701,325593,275701,275701,275701,275701
v,30362,-,-,-,34523,30362
2,18976,-,-,-,-,18976
w,65478,325593,171567,82319,65478,65478
s,189997,325594,190040,189997,189997,189997
u,83462,325593,171568,83784,83462,83462
f,83534,-,-,83817,83534,83534
m,79929,-,171566,82322,79929,79929
k,22281,325593,171567,82316,33944,22281
p,43248,-,-,82332,43374,43248
3,12259,-,-,-,-,12259
l,129919,-,171567,129921,129919,129919
4,9150,-,-,-,-,9150
5,7053,-,-,-,33931,7053
y,58568,-,-,-,58569,58568
6,6472,-,-,-,-,6472
7,5917,-,-,-,-,5917
8,5778,-,-,-,-,5778
9,5641,-,-,-,-,5641
0,5318,-,-,-,-,5318
x,1478,-,-,-,-,1478
j,8880,-,-,-,33937,8880
z,2972,-,-,-,-,2972
q,964,-,-,-,-,964
