char,exact,ssc10,ssc15,ssc20,ssc25,ssc50
t,10853,-,10853,10853,10853,10853
h,8207,11773,8210,8207,8207,8207
e,16335,16335,16335,16335,16335,16335
r,7146,11773,7146,7146,7146,7146
a,9024,11773,9024,9024,9024,9024
g,2238,-,-,2529,2238,2238
d,4583,11772,6192,4583,4583,4583
i,7938,-,7941,7938,7938,7938
o,10441,11772,10441,10441,10441,10441
f,2487,11772,6195,2539,2487,2487
m,3967,11772,-,3967,3967,3967
l,5450,-,6193,5450,5450,5450
c,2364,-,6192,2576,2364,2364
u,4598,-,-,4598,4598,4598
s,7566,-,7569,7566,7566,7566
p,1834,-,6192,2531,1834,1834
n,7611,11773,7612,7611,7611,7611
b,1704,-,-,-,1704,1704
w,2890,-,-,2891,2890,2890
y,2948,-,-,2974,2948,2948
v,498,-,-,-,498,498
k,1220,11773,6193,2529,1220,1220
q,195,-,-,-,195,195
x,137,-,-,-,137,137
z,49,-,-,-,54,49
j,1,-,-,-,-,1
1,4,-,-,-,-,4
