char,exact2,ssc10,ssc15,ssc20,ssc25,ssc50
e,118387,118389,118387,118387,118387,118387
ç,4116,-,-,-,6240,4116
a,141725,141725,141725,141725,141725,141725
d,50219,90441,50219,50219,50219,50219
q,10009,-,-,18291,10014,10009
u,43099,90441,48359,43100,43099,43099
i,54038,-,54038,54038,54038,54038
r,68080,90447,68080,68080,68080,68080
o,104760,104760,104760,104760,104760,104760
z,4956,-,-,-,6240,4956
s,73719,-,73719,73719,73719,73719
m,46685,90440,48405,46685,46685,46685
p,23458,-,48362,23462,23458,23458
v,17162,90440,48358,18305,17162,17162
n,48337,90439,48478,48337,48337,48337
t,41971,-,-,41971,41971,41971
c,35251,-,-,35251,35251,35251
l,38457,90440,48358,38457,38457,38457
h,16282,-,-,18292,16285,16282
g,12732,-,48357,18295,12733,12732
x,2276,-,-,-,-,2276
1,29,-,-,-,-,29
8,24,-,-,-,-,24
b,11701,-,-,18291,11702,11701
ã,6469,-,-,-,6639,6469
f,10281,-,48357,18297,10282,10281
ó,858,-,-,-,-,858
2,8,-,-,-,-,8
0,16,-,-,-,-,16
3,10,-,-,-,-,10
5,8,-,-,-,-,8
7,8,-,-,-,-,8
j,3046,-,-,-,6240,3046
á,3771,-,-,-,6239,3771
é,2908,-,-,-,-,2908
y,469,-,-,-,-,469
ê,708,-,-,-,-,708
ô,931,-,-,-,-,931
õ,465,-,-,-,-,465
ú,34,-,-,-,-,34
w,101,-,-,-,-,101
à,51,-,-,-,-,51
è,45,-,-,-,-,45
í,94,-,-,-,-,94
k,177,-,-,-,-,177
9,2,-,-,-,-,3
ò,2,-,-,-,-,-
6,7,-,-,-,-,7
4,4,-,-,-,-,4
û,1,-,-,-,-,-
ù,1,-,-,-,-,-
ñ,9,-,-,-,-,10
â,5,-,-,-,-,7
