char,exact2,ssc10,ssc15,ssc20,ssc25,ssc50
t,11051,11789,11051,11051,11051,11051
h,7405,-,7439,7405,7405,7405
e,14279,14279,14279,14279,14279,14279
p,1984,-,-,2870,1984,1984
r,7686,-,7686,7686,7686,7686
o,9938,11770,9938,9938,9938,9938
j,375,-,-,-,383,375
c,2751,-,-,2982,2751,2751
g,2260,-,-,2866,2260,2260
u,4089,11762,6316,4089,4089,4089
n,7493,11762,7494,7493,7493,7493
b,2022,11763,6316,2868,2022,2022
k,987,11762,6314,2865,987,987
f,2477,-,-,-,2478,2477
m,3812,-,6314,3818,3812,3812
a,9153,11762,9154,9153,9153,9153
d,4440,-,-,4444,4440,4440
l,5285,-,6315,5285,5285,5285
i,7854,-,7855,7854,7854,7854
y,2938,-,-,2973,2938,2938
w,2856,11762,6315,2872,2856,2856
s,7382,11763,7388,7383,7382,7382
v,1169,-,-,-,1172,1169
2,25,-,-,-,-,25
5,15,-,-,-,238,15
0,19,-,-,-,-,19
1,94,-,-,-,-,94
9,16,-,-,-,-,16
7,7,-,-,-,-,7
x,160,-,-,-,-,160
3,16,-,-,-,-,16
z,35,-,-,-,-,35
q,76,-,-,-,238,76
8,9,-,-,-,-,9
4,9,-,-,-,-,9
6,7,-,-,-,-,7
